temp,light,sound,CO2,class
25.44,0,0.08,350,no
25.38,0,0.08,355,no
25.0,3,0.08,350,no
25.5,0,0.07,410,no
25.56,0,0.08,530,no
25.31,0,0.07,365,no
26.25,150,0.25,1050,yes
25.19,0,0.07,345,no
25.19,0,0.08,355,no
25.19,0,0.08,360,no
25.38,0,0.07,355,no
26.19,164,1.52,965,yes
25.44,1,0.08,350,no
25.13,0,0.07,350,no
25.94,162,2.68,515,yes
25.19,0,0.08,360,no
25.75,10,0.06,455,no
25.88,120,0.09,410,yes
25.81,0,0.07,785,no
26.06,0,0.07,965,no
25.44,0,0.07,380,no
25.44,0,0.07,350,no
25.94,0,0.07,860,no
25.19,0,0.06,365,no
25.44,1,0.08,350,no
25.44,4,0.09,350,no
25.44,0,0.08,355,no
25.94,0,0.07,840,no
25.13,10,0.08,355,no
26.31,149,0.58,965,yes
25.31,0,0.07,360,no
25.69,124,0.21,380,yes
25.44,0,0.08,355,no
26.06,118,1.51,500,yes
25.06,2,0.07,360,no
25.69,8,0.09,480,yes
25.13,5,0.08,345,no
25.5,0,0.07,380,no
26.13,118,0.68,605,yes
26.0,119,0.09,595,yes
25.38,157,1.14,450,yes
25.44,8,0.08,355,no
25.44,0,0.07,350,no
25.19,12,0.1,360,no
25.13,5,0.08,360,no
25.44,5,0.08,350,no
25.38,0,0.07,365,no
26.13,18,0.07,965,no
25.19,0,0.07,345,no
25.06,123,1.66,390,yes
25.44,0,0.07,375,no
25.38,0,0.08,355,no
25.38,0,0.08,370,no
25.06,0,0.08,355,no
26.25,149,1.18,860,yes
25.19,0,0.08,345,no
25.44,0,0.06,375,no
25.25,0,0.06,360,no
26.06,160,0.73,650,yes
25.88,121,0.08,420,yes
26.31,0,0.07,1210,no
25.31,0,0.06,365,no
25.19,13,0.08,355,no
25.19,0,0.07,345,no
25.56,0,0.06,395,no
25.19,0,0.07,360,no
25.44,8,0.08,355,no
26.31,150,0.11,1045,yes
26.19,117,0.64,715,yes
26.0,15,0.08,630,no
26.0,17,0.06,815,no
25.13,10,0.08,355,no
25.31,17,0.07,355,no
25.06,6,0.08,345,no
25.63,10,0.1,380,yes
25.44,0,0.08,350,no
25.69,124,0.8,380,yes
25.31,0,0.07,360,no
25.31,0,0.07,360,no
25.75,0,0.08,725,no
25.25,0,0.07,360,no
25.88,0,0.07,835,no
25.19,12,0.08,360,no
25.13,0,0.08,345,no
25.06,5,0.07,350,no
26.19,0,0.08,1020,no
25.06,6,0.08,350,no
25.19,0,0.08,345,no
25.5,0,0.07,390,no
25.44,0,0.08,350,no
25.19,15,0.09,355,no
25.38,0,0.08,355,no
25.44,0,0.08,355,no
25.44,0,0.08,355,no
25.88,3,0.6,740,yes
25.31,0,0.07,360,no
25.13,123,0.21,405,yes
25.44,0,0.07,350,no
25.25,0,0.08,360,no
25.63,0,0.07,495,no
25.06,1,0.07,360,no
26.19,114,0.1,795,yes
26.0,0,0.07,985,no
25.25,0,0.06,360,no
25.88,14,0.06,690,no
25.44,0,0.07,380,no
25.88,3,0.32,755,yes
25.13,0,0.07,355,no
25.19,0,0.07,345,no
25.38,17,0.08,355,no
25.06,7,0.08,360,no
25.81,0,0.07,765,no
25.19,0,0.06,360,no
25.38,19,0.07,355,no
25.38,0,0.08,355,no
26.25,148,0.39,1060,yes
26.25,150,0.1,850,yes
26.06,119,1.07,490,yes
25.19,0,0.08,360,no
25.25,124,0.28,420,yes
25.5,0,0.07,390,no
25.38,20,0.09,355,no
25.5,0,0.07,385,no
25.13,0,0.07,345,no
25.44,0,0.07,350,no
25.06,7,0.08,355,no
25.13,5,0.06,360,no
25.13,10,0.07,355,no
25.06,1,0.08,355,no
25.25,0,0.07,345,no
25.13,0,0.08,345,no
25.25,123,0.1,435,yes
25.19,0,0.07,355,no
26.06,160,0.61,590,yes
25.0,2,0.08,355,no
25.0,3,0.08,355,no
25.06,1,0.08,350,no
26.19,114,0.8,1015,yes
25.38,0,0.08,355,no
25.88,160,0.76,495,yes
25.13,0,0.08,360,no
25.13,0,0.08,345,no
25.06,5,0.08,350,no
25.75,0,0.07,665,no
25.06,1,0.08,345,no
25.44,1,0.07,350,no
25.31,0,0.08,355,no
26.13,115,0.21,625,yes
25.38,16,0.08,355,no
25.13,0,0.06,355,no
25.19,0,0.07,360,no
25.88,160,0.47,495,yes
25.31,0,0.06,365,no
26.25,114,0.07,1050,yes
25.31,0,0.07,365,no
25.44,0,0.08,350,no
25.38,0,0.08,355,no
25.13,0,0.08,345,no
25.06,6,0.07,350,no
25.31,0,0.06,365,no
26.25,150,0.61,810,yes
25.88,121,0.1,415,yes
25.06,5,0.07,360,no
25.44,0,0.07,375,no
25.13,0,0.08,345,no
26.31,148,0.45,995,yes
26.0,164,0.18,865,yes
25.44,0,0.08,350,no
25.5,0,0.08,390,no
25.19,0,0.08,345,no
25.31,0,0.07,370,no
26.31,150,2.21,1210,yes
25.19,0,0.07,355,no
25.19,0,0.07,345,no
25.31,0,0.07,355,no
25.19,0,0.07,345,no
25.25,0,0.07,360,no
25.13,5,0.07,360,no
25.31,0,0.07,355,no
25.44,0,0.08,355,no
25.06,1,0.08,345,no
25.44,0,0.07,370,no
25.44,8,0.09,355,no
25.38,0,0.07,355,no
25.13,6,0.08,350,no
25.19,0,0.07,345,no
26.19,150,1.08,780,yes
25.81,0,0.06,725,no
25.31,0,0.08,370,no
25.38,0,0.07,365,no
26.06,116,0.13,540,yes
26.0,17,0.08,830,no
25.38,0,0.08,355,no
25.06,0,0.08,355,no
25.25,0,0.11,345,no
25.13,0,0.08,345,no
25.94,120,0.07,575,yes
25.63,0,0.07,585,no
25.44,0,0.07,350,no
26.19,151,0.55,770,yes
26.31,142,1.04,1250,yes
25.19,0,0.08,360,no
25.13,10,0.08,360,no
25.69,0,0.07,665,no
25.19,0,0.07,355,no
25.25,0,0.07,365,no
25.44,0,0.08,355,no
25.38,0,0.08,355,no
25.31,20,0.07,355,no
25.63,0,0.06,540,no
25.38,0,0.08,355,no
26.0,0,0.07,1025,no
25.31,0,0.07,370,no
25.0,6,0.08,360,no
26.06,160,0.71,590,yes
25.06,1,0.08,355,no
25.69,0,0.07,585,no
25.56,0,0.06,465,no
25.25,0,0.08,365,no
25.56,155,0.44,570,yes
25.75,0,0.06,650,no
25.88,0,0.07,880,no
25.5,0,0.07,380,no
25.5,155,0.29,540,yes
25.19,0,0.08,355,no
25.06,6,0.08,350,no
25.06,3,0.07,350,no
25.31,0,0.07,355,no
25.13,10,0.09,355,no
25.25,0,0.07,355,no
25.44,0,0.07,385,no
25.38,0,0.08,355,no
25.31,0,0.07,345,no
25.81,159,1.05,390,yes
26.25,114,0.72,1025,yes
25.56,0,0.07,420,no
26.06,118,0.18,475,yes
25.19,0,0.07,345,no
25.31,0,0.08,355,no
25.5,0,0.07,380,no
25.56,0,0.07,465,no
25.19,0,0.07,360,no
26.25,149,0.52,940,yes
25.31,0,0.07,355,no
25.38,0,0.08,355,no
25.13,0,0.08,360,no
25.06,0,0.08,345,no
25.44,0,0.07,385,no
25.63,0,0.07,610,no
25.13,0,0.07,345,no
25.44,1,0.08,350,no
25.44,0,0.3,350,no
25.13,0,0.08,345,no
25.19,0,0.07,355,no
25.19,0,0.07,345,no
25.38,0,0.08,375,no
25.38,0,0.06,365,no
25.38,0,0.07,355,no
25.25,0,0.07,345,no
26.31,150,0.97,1200,yes
25.44,0,0.08,350,no
25.06,8,0.08,360,no
25.0,0,0.08,355,no
25.13,0,0.08,345,no
25.5,0,0.07,390,no
25.38,0,0.08,355,no
26.31,150,2.58,1200,yes
25.31,0,0.07,355,no
25.88,120,0.07,580,yes
25.44,0,0.07,385,no
26.19,164,0.18,965,yes
25.13,6,0.07,360,no
26.25,149,1.59,1060,yes
25.94,120,0.08,580,yes
25.44,0,0.08,355,no
25.69,8,0.2,430,yes
26.25,117,1.25,1040,yes
25.63,0,0.07,600,no
25.56,156,0.7,605,yes
25.44,0,0.07,375,no
25.06,8,0.08,360,no
25.38,20,0.08,355,no
25.75,0,0.07,740,no
25.06,7,0.07,355,no
26.25,114,0.35,1020,yes
25.63,0,0.07,475,no
25.19,0,0.07,360,no
26.06,0,0.07,1040,no
25.06,5,0.07,350,no
25.06,9,0.08,360,no
25.31,122,0.59,360,yes
25.13,0,0.08,345,no
26.06,117,0.14,510,yes
25.13,0,0.08,345,no
25.06,7,0.08,360,no
25.13,0,0.07,360,no
25.25,0,0.08,355,no
25.19,123,0.46,420,yes
25.13,6,0.08,345,no
25.88,14,0.07,685,no
26.06,165,0.66,840,yes
25.44,0,0.07,365,no
25.13,0,0.08,345,no
25.94,119,0.94,575,yes
25.44,0,0.08,350,no
25.13,0,0.06,355,no
25.44,0,0.07,370,no
25.38,0,0.06,365,no
25.44,0,0.08,370,no
25.5,0,0.07,390,no
25.44,4,0.07,350,no
25.38,121,0.99,360,yes
25.38,0,0.07,365,no
25.94,14,0.07,635,no
25.19,0,0.06,360,no
25.69,150,0.74,385,yes
26.0,119,0.1,565,yes
25.06,4,0.08,350,no
26.31,149,0.12,1030,yes
25.25,0,0.07,345,no
25.44,8,0.14,355,no
26.25,148,0.93,1050,yes
26.0,119,0.21,455,yes
25.06,4,0.08,345,no
26.06,164,0.99,895,yes
25.38,18,0.08,355,no
25.38,0,0.07,370,no
25.31,0,0.07,355,no
25.13,0,0.08,350,no
25.13,0,0.07,355,no
25.88,0,0.06,765,no
25.81,0,0.06,725,no
25.38,0,0.08,355,no
25.5,0,0.07,385,no
26.19,118,0.88,690,yes
25.5,10,0.08,370,yes
25.44,3,0.08,350,no
25.63,123,0.62,375,yes
25.19,0,0.07,360,no
25.63,0,0.08,485,no
25.38,0,0.08,355,no
25.5,0,0.07,380,no
25.94,142,0.45,830,yes
25.94,146,0.37,835,yes
25.44,0,0.08,355,no
25.25,15,0.08,355,no
25.19,0,0.08,345,no
25.13,0,0.08,345,no
25.63,0,0.07,625,no
25.25,0,0.07,360,no
25.19,0,0.07,345,no
25.19,0,0.08,360,no
25.19,0,0.06,360,no
25.13,0,0.07,345,no
25.25,0,0.06,365,no
25.38,0,0.08,355,no
25.5,155,0.33,545,yes
25.13,0,0.08,345,no
25.31,0,0.08,365,no
25.31,0,0.08,355,no
25.38,0,0.08,355,no
25.31,0,0.07,350,no
26.25,0,0.07,1180,no
25.19,0,0.07,345,no
25.69,0,0.07,665,no
25.63,0,0.07,580,no
25.38,0,0.08,355,no
25.06,2,0.08,345,no
25.06,5,0.08,360,no
25.44,0,0.06,375,no
25.19,0,0.07,355,no
26.19,150,0.4,775,yes
25.75,0,0.07,725,no
25.94,0,0.07,835,no
25.81,0,0.07,775,no
26.25,150,0.63,1085,yes
25.69,0,0.06,595,no
25.06,0,0.08,345,no
25.56,0,0.07,420,no
25.13,0,0.08,345,no
25.06,7,0.07,355,no
25.81,119,0.51,415,yes
25.38,0,0.07,370,no
25.19,0,0.07,355,no
25.5,155,0.33,520,yes
25.44,1,0.08,350,no
25.63,0,0.08,510,no
25.06,5,0.08,350,no
25.06,6,0.08,360,no
25.31,0,0.08,355,no
25.06,5,0.08,360,no
25.25,0,0.07,355,no
26.25,149,0.8,945,yes
26.0,119,0.47,570,yes
25.31,0,0.07,365,no
25.19,0,0.07,345,no
25.31,17,0.08,355,no
25.38,0,0.07,350,no
25.25,0,0.07,360,no
25.13,10,0.09,360,no
26.25,114,0.26,1025,yes
25.69,0,0.07,595,no
25.19,0,0.08,360,no
25.5,0,0.07,390,no
26.13,164,0.11,910,yes
25.44,0,0.08,350,no
25.13,5,0.08,345,no
25.38,17,0.08,355,no
25.38,20,0.08,355,no
25.44,7,0.08,355,no
26.13,165,0.48,935,yes
25.44,0,0.07,350,no
26.19,114,0.42,1025,yes
25.13,0,0.08,345,no
25.06,5,0.08,360,no
25.38,0,0.06,370,no
25.44,0,0.08,350,no
25.06,5,0.07,360,no
25.13,0,0.06,360,no
25.25,0,0.07,360,no
26.25,113,1.73,1035,yes
25.19,0,0.07,345,no
25.06,5,0.08,360,no
25.81,11,0.08,490,no
25.31,0,0.07,360,no
25.38,0,0.07,370,no
25.88,0,0.06,770,no
25.06,4,0.08,350,no
25.06,1,0.08,355,no
25.19,0,0.07,345,no
25.56,0,0.07,390,no
25.44,0,0.08,355,no
25.13,0,0.08,345,no
25.19,0,0.07,360,no
25.38,150,0.46,450,yes
25.06,2,0.08,345,no
25.25,0,0.07,345,no
25.19,14,0.08,360,no
26.19,150,0.09,815,yes
25.25,16,0.08,355,no
25.31,0,0.08,360,no
25.38,18,0.07,355,no
25.56,0,0.07,445,no
25.13,0,0.08,345,no
25.44,7,0.08,350,no
25.56,0,0.06,440,no
25.75,9,0.07,435,no
25.25,0,0.07,345,no
25.44,0,0.08,355,no
25.81,12,0.07,495,no
25.13,10,0.08,355,no
26.13,0,0.07,1110,no
25.19,0,0.08,345,no
25.44,0,0.06,370,no
25.44,155,2.95,510,yes
25.38,0,0.07,375,no
26.13,116,0.24,620,yes
25.13,0,0.08,345,no
25.13,0,0.07,360,no
25.19,0,0.08,360,no
25.56,0,0.06,470,no
25.31,17,0.07,355,no
25.19,13,0.08,355,no
25.19,14,0.12,355,no
25.31,0,0.06,360,no
25.63,0,0.07,545,no
25.25,18,0.08,355,no
25.69,0,0.07,605,no
25.06,0,0.08,355,no
25.06,0,0.08,345,no
25.06,6,0.07,360,no
26.31,142,0.09,1260,yes
25.44,0,0.09,350,no
25.44,0,0.07,355,no
25.75,160,1.46,390,yes
25.13,6,0.08,345,no
25.13,0,0.08,360,no
25.06,0,0.08,345,no
26.25,150,0.82,1080,yes
25.25,0,0.07,345,no
25.13,6,0.07,360,no
25.44,0,0.08,350,no
25.44,0,0.08,350,no
25.25,0,0.08,355,no
25.75,6,0.36,515,yes
25.63,0,0.08,625,no
26.06,118,0.48,490,yes
25.25,0,0.07,345,no
25.31,0,0.07,355,no
25.31,0,0.07,360,no
25.13,7,0.06,360,no
25.25,0,0.07,345,no
25.31,0,0.08,355,no
25.38,0,0.07,375,no
25.13,10,0.08,355,no
25.81,10,0.14,485,no
25.44,6,0.07,355,no
26.13,119,0.76,585,yes
25.44,0,0.07,370,no
25.19,0,0.07,345,no
25.19,0,0.07,360,no
25.44,0,0.06,385,no
25.31,17,0.08,355,no
25.44,2,0.07,350,no
25.56,0,0.07,460,no
25.44,4,0.07,355,no
25.5,0,0.07,380,no
25.06,0,0.06,360,no
25.31,0,0.07,370,no
25.19,0,0.06,345,no
25.0,9,0.08,355,no
25.44,0,0.08,355,no
25.38,0,0.07,355,no
25.06,6,0.08,350,no
26.0,164,0.07,875,yes
25.19,0,0.08,355,no
26.06,0,0.07,970,no
25.44,0,0.08,350,no
25.06,5,0.08,350,no
25.13,0,0.07,360,no
26.19,116,0.42,705,yes
25.63,0,0.07,590,no
25.44,0,0.07,375,no
26.06,119,0.08,475,yes
25.31,0,0.07,355,no
25.75,0,0.07,715,no
25.31,0,0.07,365,no
25.19,0,0.07,360,no
25.19,14,0.08,360,no
25.19,0,0.07,365,no
25.81,0,0.06,765,no
25.25,0,0.06,365,no
25.44,157,0.63,460,yes
25.13,0,0.07,360,no
26.31,150,0.39,1225,yes
25.13,0,0.08,360,no
25.94,147,0.1,815,yes
25.69,0,0.07,575,no
25.19,0,0.07,355,no
25.44,0,0.07,385,no
25.06,1,0.08,355,no
25.06,0,0.08,355,no
25.13,10,0.08,360,no
25.81,160,0.96,685,yes
25.13,7,0.07,360,no
25.38,0,0.07,355,no
25.19,0,0.06,360,no
25.19,0,0.08,345,no
26.0,0,0.07,1020,no
25.81,5,0.19,620,yes
25.5,0,0.06,410,no
25.88,3,1.18,720,yes
26.25,149,0.08,950,yes
25.44,16,0.08,355,no
25.06,0,0.08,355,no
25.06,5,0.07,360,no
25.19,0,0.07,365,no
25.06,1,0.08,355,no
25.38,0,0.07,375,no
25.06,6,0.09,350,no
26.0,142,1.12,850,yes
25.81,13,0.69,540,no
25.44,157,3.51,450,yes
25.06,6,0.07,360,no
25.13,0,0.07,360,no
25.06,0,0.08,360,no
25.06,0,0.07,355,no
25.5,0,0.07,385,no
25.38,0,0.08,355,no
25.06,6,0.08,360,no
25.5,0,0.07,390,no
25.5,0,0.07,390,no
25.19,0,0.08,345,no
25.19,13,0.08,360,no
25.75,0,0.07,665,no
25.31,0,0.07,355,no
25.94,0,0.08,845,no
25.25,0,0.07,345,no
25.38,0,0.51,360,no
25.06,0,0.08,345,no
25.25,0,0.07,345,no
25.88,0,0.07,790,no
25.19,0,0.08,350,no
25.5,10,0.37,370,yes
25.13,0,0.06,355,no
25.06,1,0.07,345,no
26.13,164,0.16,905,yes
25.44,0,0.08,355,no
25.38,0,0.08,370,no
25.19,13,0.08,355,no
25.13,5,0.07,360,no
25.19,0,0.08,355,no
25.13,0,0.07,355,no
25.38,0,0.08,360,no
25.69,156,0.08,645,yes
26.13,118,0.12,605,yes
25.31,0,0.07,370,no
25.13,0,0.1,350,no
25.69,0,0.06,650,no
26.19,0,0.06,1025,no
25.38,0,0.06,375,no
25.38,0,0.08,355,no
25.06,7,0.08,360,no
25.31,0,0.07,355,no
25.63,0,0.07,505,no
25.31,0,0.07,355,no
25.38,0,0.08,355,no
25.06,9,0.08,355,no
25.25,0,0.07,360,no
26.25,150,0.22,970,yes
25.13,13,0.07,355,no
25.19,0,0.08,345,no
26.13,119,0.5,570,yes
25.25,0,0.07,355,no
25.06,1,0.07,345,no
25.13,0,0.07,360,no
25.13,1,0.07,360,no
25.63,0,0.1,505,no
25.19,0,0.07,360,no
25.94,14,0.07,715,no
25.25,0,0.07,345,no
25.44,0,0.08,355,no
25.44,0,0.08,355,no
25.25,0,0.07,345,no
25.13,0,0.08,360,no
26.06,0,0.07,975,no
25.38,0,0.08,355,no
25.06,6,0.07,350,no
25.38,0,0.08,355,no
25.06,1,0.07,355,no
25.31,17,0.07,355,no
25.88,0,0.07,820,no
25.31,0,0.07,370,no
25.56,0,0.07,485,no
25.25,16,0.08,355,no
25.13,10,0.08,360,no
25.25,0,0.06,360,no
25.25,16,0.07,355,no
26.19,114,0.09,1020,yes
25.94,148,0.44,785,yes
25.38,0,0.07,360,no
25.06,4,0.07,360,no
25.19,0,0.08,355,no
25.06,7,0.07,355,no
25.88,14,0.09,535,no
25.19,15,0.08,355,no
26.19,114,0.23,775,yes
25.44,0,0.07,370,no
25.06,6,0.07,360,no
25.44,15,0.07,355,no
25.69,157,0.8,650,yes
25.44,0,0.07,370,no
25.5,0,0.07,445,no
25.5,0,0.38,450,no
25.31,0,0.07,345,no
25.06,9,0.07,355,no
25.06,3,0.07,345,no
25.75,9,0.07,435,no
26.25,149,0.08,830,yes
25.31,123,0.48,450,yes
26.19,164,0.1,960,yes
25.06,3,0.08,355,no
25.13,0,0.08,345,no
25.38,0,0.09,355,no
25.13,0,0.07,345,no
25.06,0,0.08,355,no
25.69,0,0.07,590,no
25.0,7,0.07,355,no
25.19,0,0.07,345,no
25.25,0,0.07,355,no
25.44,2,0.07,350,no
25.06,1,0.08,345,no
25.81,160,0.15,405,yes
25.25,0,0.07,345,no
25.94,160,0.55,545,yes
25.38,0,0.08,360,no
25.25,0,0.08,360,no
25.19,0,0.07,345,no
25.81,0,0.07,800,no
25.25,0,0.07,360,no
25.38,17,0.09,355,no
25.44,0,0.08,350,no
26.19,114,0.07,1035,yes
25.44,0,0.06,370,no
25.31,0,0.06,360,no
25.0,0,0.07,355,no
25.38,157,0.58,450,yes
25.06,4,0.08,345,no
26.31,150,1.86,1200,yes
25.13,6,0.07,360,no
25.31,17,0.07,355,no
25.44,0,0.06,390,no
26.06,116,0.07,535,yes
25.38,0,0.06,365,no
26.25,149,0.42,865,yes
25.5,0,0.06,390,no
25.19,0,0.07,350,no
26.06,161,1.27,610,yes
25.06,1,0.06,360,no
25.13,0,0.08,360,no
25.31,0,0.08,355,no
25.88,12,0.1,545,no
25.19,0,0.07,345,no
25.0,8,0.07,355,no
25.25,0,0.08,355,no
26.19,165,0.1,930,yes
26.25,150,0.46,1120,yes
25.13,0,0.08,345,no
25.19,14,0.08,360,no
25.38,0,0.07,380,no
25.25,0,0.07,345,no
25.19,0,0.07,360,no
25.13,0,0.06,360,no
25.69,0,0.07,550,no
25.31,0,0.07,365,no
25.13,6,0.07,360,no
25.44,0,0.08,350,no
25.44,13,0.08,355,no
25.19,0,0.07,345,no
25.06,6,0.08,360,no
25.5,0,0.07,380,no
26.06,18,0.07,940,no
25.19,0,0.08,345,no
25.13,6,0.08,345,no
26.19,150,0.67,805,yes
25.19,0,0.07,345,no
25.44,0,0.08,350,no
25.38,0,0.06,375,no
25.88,14,0.07,530,no
26.06,18,0.56,950,no
25.38,0,0.07,350,no
25.38,0,0.08,355,no
25.13,0,0.07,355,no
25.38,0,0.08,365,no
25.19,0,0.07,345,no
25.5,0,0.06,400,no
25.5,0,0.08,350,no
25.81,0,0.06,815,no
25.31,0,0.07,370,no
25.44,0,0.08,375,no
25.25,0,0.07,345,no
25.75,9,0.08,430,no
25.13,0,0.08,345,no
25.13,9,0.08,355,no
25.44,0,0.06,370,no
25.56,156,0.92,580,yes
25.31,0,0.06,370,no
25.69,9,0.26,455,yes
25.13,6,0.07,360,no
25.25,0,0.08,355,no
25.31,0,0.08,355,no
26.06,19,0.13,945,no
25.38,18,0.07,355,no
25.13,0,0.08,360,no
25.25,0,0.07,365,no
26.31,149,0.63,1190,yes
25.44,0,0.06,370,no
25.56,0,0.06,495,no
25.13,12,0.07,355,no
25.94,14,0.08,715,no
25.19,0,0.07,345,no
25.38,0,0.08,355,no
25.44,0,0.07,355,no
25.38,0,0.07,370,no
25.13,6,0.07,360,no
25.44,0,0.06,370,no
26.19,114,0.21,1020,yes
25.88,0,0.07,810,no
25.19,0,0.07,365,no
25.13,10,0.08,355,no
25.31,0,0.07,355,no
25.31,0,0.16,345,no
25.44,0,0.08,355,no
25.56,0,0.06,385,no
25.44,0,0.06,375,no
26.13,19,0.1,960,no
25.31,0,0.08,355,no
26.13,119,0.82,650,yes
25.06,2,0.08,345,no
25.25,0,0.07,345,no
25.25,0,0.07,355,no
25.44,5,0.08,355,no
25.44,17,0.08,355,no
25.44,5,0.08,355,no
25.56,124,0.66,370,yes
25.13,0,0.09,345,no
25.94,163,0.55,845,yes
25.38,0,0.07,355,no
25.19,0,0.08,345,no
26.0,118,0.09,595,yes
25.38,0,0.07,355,no
25.44,0,0.07,380,no
25.25,0,0.08,360,no
25.25,0,0.07,360,no
26.06,19,0.06,975,no
25.38,0,0.08,355,no
25.38,0,0.08,355,no
25.13,0,0.07,360,no
25.88,160,0.42,420,yes
25.38,0,0.07,355,no
25.19,0,0.07,345,no
25.38,0,0.06,365,no
25.19,0,0.08,345,no
26.25,150,0.24,1010,yes
25.69,0,0.07,545,no
26.06,118,1.22,500,yes
25.13,0,0.08,360,no
25.38,0,0.07,355,no
25.0,6,0.07,360,no
25.88,160,0.65,475,yes
25.69,0,0.07,595,no
25.13,0,0.07,345,no
26.25,150,0.09,1000,yes
25.25,0,0.07,360,no
25.38,0,0.07,355,no
25.63,0,0.07,505,no
25.19,14,0.16,360,no
25.13,0,0.08,345,no
25.19,0,0.08,345,no
25.69,0,0.07,630,no
26.19,117,0.54,735,yes
26.31,0,0.07,1250,no
26.0,119,0.1,460,yes
25.69,0,0.07,625,no
25.5,0,0.06,415,no
25.88,160,0.49,445,yes
25.25,16,0.08,355,no
25.31,0,0.07,370,no
